x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
5,1,7,7,8,8,67,67,1.779,0,0,208,285,0,
6,1,7,7,8,8,67,67,1.706,0,0,257,334,0,
7,1,7,7,8,8,67,67,1.721,0,0,306,383,0,
8,1,7,7,8,8,67,67,1.736,0,0,355,432,0,
1,1,7,8,8,8,66,66,1.428,0,0,10,91,0,
2,1,7,8,8,8,67,67,1.55,0,0,68,313,0,
3,1,7,8,8,8,67,67,1.706,0,0,124,201,0,
4,1,7,8,8,8,67,67,1.706,0,0,180,257,0,
5,1,7,8,8,8,67,67,1.779,0,0,236,313,0,
6,1,7,8,8,8,67,67,1.706,0,0,292,369,0,
7,1,7,8,8,8,67,67,1.721,0,0,348,425,0,
8,1,7,8,8,8,67,67,1.736,0,0,404,481,0,
1,1,8,1,8,8,66,66,1.428,0,0,10,91,0,
2,1,8,1,8,8,67,67,1.55,0,0,20,121,0,
3,1,8,1,8,8,67,67,1.706,0,0,28,105,0,
4,1,8,1,8,8,67,67,1.706,0,0,36,113,0,
5,1,8,1,8,8,67,67,1.779,0,0,44,121,0,
6,1,8,1,8,8,67,67,1.706,0,0,52,129,0,
7,1,8,1,8,8,67,67,1.721,0,0,60,137,0,
8,1,8,1,8,8,67,67,1.736,0,0,68,145,0,
1,1,8,2,8,8,66,66,1.428,0,0,10,91,0,
2,1,8,2,8,8,67,67,1.55,0,0,28,153,0,
3,1,8,2,8,8,67,67,1.706,0,0,44,121,0,
4,1,8,2,8,8,67,67,1.706,0,0,60,137,0,
5,1,8,2,8,8,67,67,1.779,0,0,76,153,0,
6,1,8,2,8,8,67,67,1.706,0,0,92,169,0,
7,1,8,2,8,8,67,67,1.721,0,0,108,185,0,
8,1,8,2,8,8,67,67,1.736,0,0,124,201,0,
1,1,8,3,8,8,66,66,1.428,0,0,10,91,0,
2,1,8,3,8,8,67,67,1.55,0,0,36,185,0,
3,1,8,3,8,8,67,67,1.706,0,0,60,137,0,
4,1,8,3,8,8,67,67,1.706,0,0,84,161,0,
5,1,8,3,8,8,67,67,1.779,0,0,108,185,0,
6,1,8,3,8,8,67,67,1.706,0,0,132,209,0,
7,1,8,3,8,8,67,67,1.721,0,0,156,233,0,
8,1,8,3,8,8,67,67,1.736,0,0,180,257,0,
1,1,8,4,8,8,66,66,1.428,0,0,10,91,0,
2,1,8,4,8,8,67,67,1.55,0,0,44,217,0,
3,1,8,4,8,8,67,67,1.706,0,0,76,153,0,
4,1,8,4,8,8,67,67,1.706,0,0,108,185,0,
5,1,8,4,8,8,67,67,1.779,0,0,140,217,0,
6,1,8,4,8,8,67,67,1.706,0,0,172,249,0,
7,1,8,4,8,8,67,67,1.721,0,0,204,281,0,
8,1,8,4,8,8,67,67,1.736,0,0,236,313,0,
1,1,8,5,8,8,66,66,1.428,0,0,10,91,0,
2,1,8,5,8,8,67,67,1.55,0,0,52,249,0,
3,1,8,5,8,8,67,67,1.706,0,0,92,169,0,
4,1,8,5,8,8,67,67,1.706,0,0,132,209,0,
5,1,8,5,8,8,67,67,1.779,0,0,172,249,0,
6,1,8,5,8,8,67,67,1.706,0,0,212,289,0,
7,1,8,5,8,8,67,67,1.721,0,0,252,329,0,
8,1,8,5,8,8,67,67,1.736,0,0,292,369,0,
1,1,8,6,8,8,66,66,1.428,0,0,10,91,0,
2,1,8,6,8,8,67,67,1.55,0,0,60,281,0,
3,1,8,6,8,8,67,67,1.706,0,0,108,185,0,
4,1,8,6,8,8,67,67,1.706,0,0,156,233,0,
5,1,8,6,8,8,67,67,1.779,0,0,204,281,0,
6,1,8,6,8,8,67,67,1.706,0,0,252,329,0,
7,1,8,6,8,8,67,67,1.721,0,0,300,377,0,
8,1,8,6,8,8,67,67,1.736,0,0,348,425,0,
1,1,8,7,8,8,66,66,1.428,0,0,10,91,0,
2,1,8,7,8,8,67,67,1.55,0,0,68,313,0,
3,1,8,7,8,8,67,67,1.706,0,0,124,201,0,
4,1,8,7,8,8,67,67,1.706,0,0,180,257,0,
5,1,8,7,8,8,67,67,1.779,0,0,236,313,0,
6,1,8,7,8,8,67,67,1.706,0,0,292,369,0,
7,1,8,7,8,8,67,67,1.721,0,0,348,425,0,
8,1,8,7,8,8,67,67,1.736,0,0,404,481,0,
1,1,8,8,8,8,66,66,1.428,0,0,10,91,0,
2,1,8,8,8,8,67,67,1.55,0,0,76,345,0,
3,1,8,8,8,8,67,67,1.706,0,0,140,217,0,
4,1,8,8,8,8,67,67,1.706,0,0,204,281,0,
5,1,8,8,8,8,67,67,1.779,0,0,268,345,0,
6,1,8,8,8,8,67,67,1.706,0,0,332,409,0,
7,1,8,8,8,8,67,67,1.721,0,0,396,473,0,
8,1,8,8,8,8,67,67,1.736,0,0,460,537,0,
