x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
1,1,2,4,8,8,66,66,1.428,0,0,10,91,0,
2,1,2,4,8,8,67,67,1.55,0,0,20,121,0,
3,1,2,4,8,8,67,67,1.706,0,0,28,105,0,
4,1,2,4,8,8,67,67,1.706,0,0,36,113,0,
5,1,2,4,8,8,67,67,1.779,0,0,44,121,0,
6,1,2,4,8,8,67,67,1.706,0,0,52,129,0,
7,1,2,4,8,8,67,67,1.721,0,0,60,137,0,
8,1,2,4,8,8,67,67,1.736,0,0,68,145,0,
1,1,2,5,8,8,66,66,1.428,0,0,10,91,0,
2,1,2,5,8,8,67,67,1.55,0,0,22,129,0,
3,1,2,5,8,8,67,67,1.706,0,0,32,109,0,
4,1,2,5,8,8,67,67,1.706,0,0,42,119,0,
5,1,2,5,8,8,67,67,1.779,0,0,52,129,0,
6,1,2,5,8,8,67,67,1.706,0,0,62,139,0,
7,1,2,5,8,8,67,67,1.721,0,0,72,149,0,
8,1,2,5,8,8,67,67,1.736,0,0,82,159,0,
1,1,2,6,8,8,66,66,1.428,0,0,10,91,0,
2,1,2,6,8,8,67,67,1.55,0,0,24,137,0,
3,1,2,6,8,8,67,67,1.706,0,0,36,113,0,
4,1,2,6,8,8,67,67,1.706,0,0,48,125,0,
5,1,2,6,8,8,67,67,1.779,0,0,60,137,0,
6,1,2,6,8,8,67,67,1.706,0,0,72,149,0,
7,1,2,6,8,8,67,67,1.721,0,0,84,161,0,
8,1,2,6,8,8,67,67,1.736,0,0,96,173,0,
1,1,2,7,8,8,66,66,1.428,0,0,10,91,0,
2,1,2,7,8,8,67,67,1.55,0,0,26,145,0,
3,1,2,7,8,8,67,67,1.706,0,0,40,117,0,
4,1,2,7,8,8,67,67,1.706,0,0,54,131,0,
5,1,2,7,8,8,67,67,1.779,0,0,68,145,0,
6,1,2,7,8,8,67,67,1.706,0,0,82,159,0,
7,1,2,7,8,8,67,67,1.721,0,0,96,173,0,
8,1,2,7,8,8,67,67,1.736,0,0,110,187,0,
1,1,2,8,8,8,66,66,1.428,0,0,10,91,0,
2,1,2,8,8,8,67,67,1.55,0,0,28,153,0,
3,1,2,8,8,8,67,67,1.706,0,0,44,121,0,
4,1,2,8,8,8,67,67,1.706,0,0,60,137,0,
5,1,2,8,8,8,67,67,1.779,0,0,76,153,0,
6,1,2,8,8,8,67,67,1.706,0,0,92,169,0,
7,1,2,8,8,8,67,67,1.721,0,0,108,185,0,
8,1,2,8,8,8,67,67,1.736,0,0,124,201,0,
1,1,3,1,8,8,66,66,1.428,0,0,10,91,0,
2,1,3,1,8,8,67,67,1.55,0,0,15,101,0,
3,1,3,1,8,8,67,67,1.706,0,0,18,95,0,
4,1,3,1,8,8,67,67,1.706,0,0,21,98,0,
5,1,3,1,8,8,67,67,1.779,0,0,24,101,0,
6,1,3,1,8,8,67,67,1.706,0,0,27,104,0,
7,1,3,1,8,8,67,67,1.721,0,0,30,107,0,
8,1,3,1,8,8,67,67,1.736,0,0,33,110,0,
1,1,3,2,8,8,66,66,1.428,0,0,10,91,0,
2,1,3,2,8,8,67,67,1.55,0,0,18,113,0,
3,1,3,2,8,8,67,67,1.706,0,0,24,101,0,
4,1,3,2,8,8,67,67,1.706,0,0,30,107,0,
5,1,3,2,8,8,67,67,1.779,0,0,36,113,0,
6,1,3,2,8,8,67,67,1.706,0,0,42,119,0,
